epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.544,1.59154,10.3354,0.69593,2.79428,1.7667,0.95102,0.8738,0.93056,0.715,0,0,0,0,0.77781,10.3697,0.6471,0.71575,1.11305,0.00035725,0.00035725,0.00035725
2,25.6688,0.97047,9.06795,0.6569,0.88994,1.28633,0.92706,0.955,0.97326,0.84051,0,0,0,0,0.6064,8.17433,0.47423,0.58531,1.01302,0.000721575,0.000721575,0.000721575
3,31.6447,0.7971,7.88854,0.62134,0.75083,1.1672,0.92596,0.93,0.97388,0.85825,0,0,0,0,0.52839,7.56846,0.34581,0.45791,0.94317,0.00107854,0.00107854,0.00107854
4,37.8242,0.74977,7.04614,0.59062,0.68124,1.14217,0.97821,0.8979,0.97415,0.86311,0.00051,0.005,0.00026,8e-05,0.49435,6.51956,0.28386,0.45995,0.90994,0.00138656,0.00138656,0.00138656
5,43.8055,0.72121,6.57056,0.56479,0.64354,1.11725,0.93762,0.92,0.97361,0.88162,0.17396,0.17,0.04748,0.00591,0.44601,5.63737,0.24396,0.41435,0.88746,0.00137241,0.00137241,0.00137241
6,49.8202,0.70577,5.96938,0.56002,0.63007,1.11391,1,0.93377,0.98074,0.90037,0.34713,0.195,0.17629,0.0239,0.42165,5.25267,0.21921,0.37799,0.88277,0.00135826,0.00135826,0.00135826
7,55.8472,0.65115,5.50406,0.55463,0.59072,1.09089,0.97738,0.945,0.98032,0.9046,0.78966,0.705,0.67036,0.15633,0.42808,4.18867,0.23547,0.36124,0.87429,0.00134412,0.00134412,0.00134412
8,61.76,0.63021,5.08574,0.56022,0.56407,1.07331,0.97957,0.95908,0.98344,0.929,0.84163,0.82373,0.77565,0.1964,0.39025,3.69692,0.23889,0.33556,0.86079,0.00132997,0.00132997,0.00132997
9,67.5611,0.62688,4.80237,0.54908,0.57159,1.07585,0.99829,0.94,0.98303,0.93488,0.89238,0.82923,0.83957,0.26754,0.36308,3.28273,0.24191,0.33256,0.85579,0.00131582,0.00131582,0.00131582
10,73.4204,0.6153,4.51503,0.54875,0.56699,1.06235,0.92626,0.965,0.9816,0.91953,0.95846,0.885,0.92948,0.36723,0.39141,2.86979,0.25355,0.34325,0.86443,0.00130168,0.00130168,0.00130168
11,79.7636,0.5765,4.077,0.53567,0.54123,1.03884,0.9651,0.96788,0.98372,0.92719,0.9517,0.87,0.90149,0.35805,0.35965,2.53458,0.25285,0.32213,0.85551,0.00128753,0.00128753,0.00128753
12,85.5094,0.57144,3.86089,0.53089,0.52664,1.03996,0.9767,0.96,0.98383,0.93584,0.98046,0.88,0.93093,0.44353,0.34793,2.26726,0.25742,0.31376,0.84756,0.00127338,0.00127338,0.00127338
