epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2884,1.23728,7.51131,0,1.31022,1.25833,0.80206,0.71506,0.75341,0.41572,0.03917,0.02942,0.00589,0.00073,1.54897,7.8601,0,1.52286,1.53563,0.000473481,0.000473481,0.000473481
2,74.5018,1.22933,6.49873,0,1.23616,1.25889,0.44007,0.49609,0.44035,0.24981,0.14382,0.09575,0.06815,0.01408,1.52661,7.67865,0,2.14651,1.52515,0.000931008,0.000931008,0.000931008
3,107.581,1.25398,5.84988,0,1.22928,1.27994,0.3757,0.46239,0.45837,0.22858,0.13398,0.11164,0.06396,0.01225,1.87314,7.71532,0,2.10804,1.73328,0.00136967,0.00136967,0.00136967
4,140.954,1.22403,5.43012,0,1.17996,1.26237,0.48501,0.41086,0.48033,0.28903,0.13871,0.10469,0.0642,0.01314,1.61586,7.75789,0,2.42218,1.64185,0.00134412,0.00134412,0.00134412
5,172.466,1.19672,5.14257,0,1.13081,1.24744,0.71814,0.42953,0.47294,0.2796,0.50243,0.14871,0.10351,0.02142,1.60843,7.65293,0,2.59505,1.60044,0.00131582,0.00131582,0.00131582
6,204.122,1.17589,4.97803,0,1.09843,1.23827,0.53364,0.4688,0.51626,0.29755,0.12076,0.08976,0.05645,0.01297,1.56015,7.65404,0,2.54977,1.58898,0.00128753,0.00128753,0.00128753
7,235.533,1.15565,4.79388,0,1.06132,1.23071,0.5035,0.39506,0.50447,0.23826,0.14139,0.10024,0.06966,0.01364,1.84915,7.43405,0,2.10307,1.80391,0.00125923,0.00125923,0.00125923
8,266.76,1.1375,4.70921,0,1.04263,1.21756,0.43303,0.41756,0.48475,0.26787,0.18275,0.12182,0.09962,0.0252,1.49012,7.48037,0,2.23066,1.51496,0.00123094,0.00123094,0.00123094
9,298.509,1.1143,4.53126,0,1.00471,1.199,0.33599,0.42826,0.4018,0.23024,0.47973,0.14479,0.07209,0.01554,1.52076,7.19056,0,2.20671,1.57348,0.00120265,0.00120265,0.00120265
10,330.089,1.09521,4.43375,0,0.9789,1.19301,0.48252,0.46049,0.50566,0.30551,0.55845,0.16157,0.11564,0.03076,1.51417,6.87054,0,2.32626,1.60017,0.00117435,0.00117435,0.00117435
11,361.61,1.08184,4.37665,0,0.97922,1.18885,0.45064,0.47482,0.49572,0.28159,0.18829,0.15765,0.11398,0.029,1.74209,7.26298,0,2.30963,1.75785,0.00114606,0.00114606,0.00114606
12,393.103,1.06039,4.28101,0,0.94622,1.1799,0.55337,0.48153,0.56516,0.32327,0.55573,0.16547,0.12825,0.03275,1.58652,7.08518,0,2.30207,1.60287,0.00111776,0.00111776,0.00111776
13,424.638,1.07201,4.22352,0,0.95032,1.18275,0.5361,0.49299,0.52647,0.3446,0.22564,0.15304,0.12608,0.03398,1.41017,6.98489,0,2.55511,1.52523,0.00108947,0.00108947,0.00108947
14,456.201,1.05202,4.13936,0,0.91681,1.16997,0.7445,0.45485,0.48689,0.31358,0.60911,0.15655,0.16345,0.04712,1.40224,6.65191,0,2.45888,1.50954,0.00106118,0.00106118,0.00106118
15,487.674,1.03692,4.07448,0,0.90939,1.16212,0.83099,0.50701,0.54506,0.32883,0.6045,0.1675,0.13067,0.03534,1.47047,6.98649,0,2.41348,1.50127,0.00103288,0.00103288,0.00103288
16,519.348,1.01233,4.01301,0,0.8881,1.15434,0.84059,0.50569,0.54785,0.35012,0.57323,0.20016,0.17225,0.04862,1.51217,6.74948,0,2.36636,1.54267,0.00100459,0.00100459,0.00100459
17,550.985,1.02811,4.02307,0,0.90097,1.16343,0.82552,0.50315,0.53517,0.33501,0.65785,0.23692,0.21311,0.05866,1.48472,6.89193,0,2.3424,1.55291,0.000976293,0.000976293,0.000976293
18,582.572,0.99733,3.89216,0,0.87036,1.14246,0.52623,0.48954,0.55972,0.36014,0.23304,0.19996,0.14788,0.04282,1.45625,6.6907,0,2.14695,1.54742,0.000947999,0.000947999,0.000947999
19,613.915,0.98101,3.82023,0,0.83831,1.13964,0.54067,0.46118,0.53707,0.33229,0.25533,0.18971,0.1655,0.04787,1.53071,7.01504,0,2.38014,1.58791,0.000919704,0.000919704,0.000919704
20,645.341,0.98014,3.76033,0,0.83504,1.13374,0.54762,0.5,0.55842,0.35907,0.62682,0.18805,0.1659,0.05122,1.55461,6.74327,0,2.42957,1.64482,0.00089141,0.00089141,0.00089141
21,676.818,0.94974,3.61268,0,0.81077,1.11588,0.89857,0.47933,0.57129,0.37949,0.61819,0.24002,0.19058,0.05167,1.43135,6.67293,0,2.19869,1.55299,0.000863116,0.000863116,0.000863116
22,709.03,0.97606,3.68283,0,0.82641,1.13169,0.52276,0.51157,0.55597,0.35288,0.29079,0.20128,0.19485,0.06509,1.46254,6.67202,0,2.50359,1.54568,0.000834822,0.000834822,0.000834822
23,743.314,0.96312,3.69055,0,0.8164,1.12759,0.52031,0.50597,0.56686,0.34419,0.58304,0.19362,0.16394,0.0475,1.43104,6.51612,0,2.23212,1.46986,0.000806528,0.000806528,0.000806528
24,774.658,0.94615,3.57396,0,0.80664,1.11862,0.51,0.53362,0.56116,0.37398,0.24904,0.21548,0.17393,0.04736,1.39679,6.66819,0,2.60437,1.49599,0.000778233,0.000778233,0.000778233
25,806.375,0.92631,3.56806,0,0.79574,1.10576,0.49744,0.51365,0.57604,0.36544,0.27075,0.27071,0.21796,0.05846,1.43466,6.48285,0,2.16036,1.50352,0.000749939,0.000749939,0.000749939
26,837.728,0.93743,3.519,0,0.79544,1.10916,0.4813,0.53209,0.54706,0.36508,0.61579,0.25001,0.2212,0.06335,1.46321,6.4959,0,2.36094,1.55444,0.000721645,0.000721645,0.000721645
27,869.215,0.92215,3.46292,0,0.77539,1.10912,0.85913,0.52676,0.54761,0.34619,0.58575,0.23173,0.18247,0.05202,1.45832,6.70723,0,2.72402,1.55437,0.000693351,0.000693351,0.000693351
28,900.503,0.91866,3.45823,0,0.7771,1.10128,0.86919,0.3997,0.53396,0.35137,0.56124,0.20683,0.18224,0.06047,1.44791,6.84363,0,2.37125,1.55522,0.000665057,0.000665057,0.000665057
29,931.974,0.90972,3.36826,0,0.76272,1.09852,0.90167,0.47821,0.56792,0.39001,0.6233,0.20745,0.18881,0.0631,1.39431,6.4802,0,2.53531,1.54619,0.000636762,0.000636762,0.000636762
30,963.378,0.89759,3.3399,0,0.74947,1.0874,0.53342,0.52226,0.59148,0.41673,0.24311,0.22141,0.18389,0.06295,1.32974,6.39917,0,2.27816,1.48682,0.000608468,0.000608468,0.000608468
31,994.741,0.90848,3.40745,0,0.764,1.0958,0.93116,0.47021,0.58776,0.38533,0.63219,0.22538,0.2025,0.06975,1.42372,6.51144,0,2.25539,1.54139,0.000580174,0.000580174,0.000580174
32,1026.05,0.88993,3.34363,0,0.74526,1.09063,0.52506,0.53995,0.58384,0.39665,0.28297,0.20878,0.19517,0.06283,1.31674,6.53095,0,2.34686,1.46174,0.00055188,0.00055188,0.00055188
33,1060.69,0.89376,3.28443,0,0.73526,1.0879,0.5091,0.53903,0.55987,0.38336,0.6417,0.24185,0.21635,0.07007,1.38352,6.42506,0,2.55091,1.49022,0.000523586,0.000523586,0.000523586
34,1092.35,0.89481,3.28325,0,0.74126,1.09242,0.50992,0.54881,0.57878,0.3902,0.66172,0.23285,0.22179,0.0739,1.33917,6.30908,0,2.25857,1.45226,0.000495291,0.000495291,0.000495291
35,1124,0.87619,3.23147,0,0.73009,1.08353,0.54152,0.54664,0.61304,0.40825,0.3011,0.29925,0.26639,0.07824,1.39536,6.43775,0,2.17057,1.50188,0.000466997,0.000466997,0.000466997
36,1157.23,0.86129,3.19829,0,0.71647,1.07404,0.52012,0.53305,0.6211,0.40247,0.67424,0.26534,0.23342,0.07407,1.42129,6.62507,0,2.31529,1.56488,0.000438703,0.000438703,0.000438703
37,1188.6,0.85747,3.14638,0,0.70306,1.06923,0.54643,0.5409,0.5989,0.40564,0.34574,0.25842,0.24181,0.07866,1.35256,6.61269,0,2.26016,1.49084,0.000410409,0.000410409,0.000410409
38,1220.08,0.85996,3.1106,0,0.69983,1.06445,0.54864,0.56513,0.59417,0.41552,0.676,0.2927,0.265,0.08914,1.40855,6.49193,0,2.39573,1.58329,0.000382115,0.000382115,0.000382115
39,1251.45,0.83496,3.0755,0,0.6886,1.05907,0.53395,0.52933,0.57357,0.40011,0.69813,0.27918,0.25831,0.09451,1.36952,6.43638,0,2.44378,1.49305,0.00035382,0.00035382,0.00035382
40,1282.74,0.84345,3.12174,0,0.70289,1.06806,0.48219,0.5322,0.56535,0.39301,0.69184,0.24205,0.2596,0.08892,1.35523,6.38268,0,2.51381,1.51209,0.000325526,0.000325526,0.000325526
41,1315.54,0.66566,2.06784,0,0.50768,0.95743,0.50921,0.5689,0.57831,0.41213,0.36447,0.28752,0.27278,0.08811,1.32563,6.37684,0,2.51905,1.50241,0.000297232,0.000297232,0.000297232
