epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.711,0.88318,3.96276,0.43399,2.02282,1.10677,0.7895,0.62504,0.7188,0.54107,0.52508,0.37764,0.36436,0.16693,0.88264,4.38539,0.38162,1.55602,1.09729,0.00331903,0.00331903,0.00331903
2,103.986,0.83216,3.72371,0.32269,1.21682,1.0473,0.80052,0.6538,0.73973,0.54719,0.47457,0.34204,0.3184,0.1366,0.91951,4.79693,0.36213,1.27857,1.13167,0.00661943,0.00661943,0.00661943
3,149.103,0.86782,3.93111,0.32368,1.05753,1.05821,0.69087,0.5291,0.62938,0.42331,0.37732,0.25692,0.22722,0.09254,1.21216,5.46162,0.41299,1.59384,1.31728,0.00988684,0.00988684,0.00988684
4,193.969,0.94168,4.18407,0.31477,1.05973,1.10181,0.75873,0.49603,0.60411,0.40756,0.4334,0.22595,0.19819,0.09426,1.14811,5.56632,0.30038,1.69285,1.25224,0.0098515,0.0098515,0.0098515
5,238.884,0.92331,4.01433,0.30248,0.98237,1.09229,0.78921,0.53528,0.65307,0.45885,0.47801,0.23026,0.2103,0.09645,1.18683,5.7488,0.34438,1.54639,1.28226,0.009802,0.009802,0.009802
6,283.518,0.8916,3.87619,0.28317,0.926,1.07723,0.70248,0.49896,0.54687,0.37977,0.38762,0.24099,0.20227,0.09951,1.13881,5.63821,0.3881,2.0106,1.27813,0.0097525,0.0097525,0.0097525
7,328.065,0.89092,3.84001,0.27928,0.91793,1.07434,0.8121,0.52611,0.60897,0.4341,0.50223,0.26817,0.24138,0.11601,1.14376,5.64628,0.26604,1.6684,1.27237,0.009703,0.009703,0.009703
8,372.681,0.85309,3.66559,0.27248,0.86129,1.05612,0.76613,0.55098,0.63054,0.44183,0.47486,0.2818,0.24827,0.12406,1.07827,5.39698,0.31406,1.71806,1.22506,0.0096535,0.0096535,0.0096535
9,417.034,0.84226,3.62125,0.26542,0.84313,1.04833,0.86198,0.52447,0.62633,0.44561,0.53166,0.27948,0.25008,0.13392,1.14793,5.33033,0.3016,1.72945,1.31385,0.009604,0.009604,0.009604
10,461.685,0.82857,3.49223,0.25493,0.80835,1.04281,0.77292,0.57782,0.64169,0.46234,0.55777,0.2919,0.26061,0.14006,1.10042,5.16399,0.25743,1.69186,1.22858,0.0095545,0.0095545,0.0095545
11,506.126,0.8091,3.40346,0.24609,0.79043,1.03344,0.81865,0.58078,0.72481,0.52059,0.54926,0.30859,0.29367,0.15418,1.07611,5.27167,0.2869,1.40151,1.2237,0.009505,0.009505,0.009505
12,550.697,0.79226,3.37349,0.24492,0.77016,1.02754,0.78529,0.57169,0.65118,0.46831,0.4603,0.29485,0.26469,0.12142,1.05795,5.15463,0.33768,1.63806,1.23673,0.0094555,0.0094555,0.0094555
13,595.024,0.79022,3.37273,0.24094,0.75469,1.0244,0.84289,0.54238,0.63184,0.46689,0.52126,0.27587,0.25994,0.13915,1.09345,5.26317,0.26242,1.68429,1.26842,0.009406,0.009406,0.009406
14,639.461,0.79325,3.31963,0.23637,0.75843,1.02496,0.81244,0.5284,0.66797,0.49841,0.52193,0.28675,0.28002,0.15504,1.00414,5.16336,0.36673,1.61578,1.20247,0.0093565,0.0093565,0.0093565
15,683.906,0.77849,3.24962,0.2306,0.73661,1.01991,0.81254,0.5766,0.66292,0.47526,0.51217,0.28819,0.2547,0.1444,1.05193,5.2427,0.24331,1.69075,1.24369,0.009307,0.009307,0.009307
16,728.187,0.77193,3.21783,0.23307,0.73119,1.01811,0.81194,0.52707,0.64751,0.47888,0.54675,0.2743,0.2616,0.14447,1.04633,5.19513,0.30602,1.69636,1.22799,0.0092575,0.0092575,0.0092575
17,772.425,0.7639,3.17389,0.23101,0.72543,1.01335,0.81352,0.54717,0.63411,0.47468,0.5472,0.31194,0.28146,0.14981,1.04502,5.11721,0.294,1.693,1.22939,0.009208,0.009208,0.009208
18,817.857,0.75612,3.10852,0.22003,0.71109,1.00933,0.76033,0.56157,0.66453,0.49808,0.45517,0.29564,0.26607,0.15357,1.06452,5.10298,0.28049,1.57338,1.26814,0.0091585,0.0091585,0.0091585
19,863.367,0.7406,3.04815,0.21803,0.69936,1.00248,0.81285,0.54322,0.63877,0.4784,0.54391,0.29244,0.27746,0.15813,1.07703,5.2579,0.30022,1.66357,1.25532,0.009109,0.009109,0.009109
20,911.635,0.74343,3.06615,0.21607,0.69607,1.00138,0.86699,0.55782,0.68442,0.50705,0.55295,0.29179,0.28693,0.1598,1.10477,5.35233,0.29276,1.53616,1.31449,0.0090595,0.0090595,0.0090595
21,958.125,0.7307,3.03391,0.21505,0.68329,1.00089,0.79672,0.53165,0.61714,0.45609,0.51238,0.31133,0.268,0.14946,1.14188,5.15019,0.28368,1.72456,1.33393,0.00901,0.00901,0.00901
22,1003.11,0.72668,2.99614,0.21494,0.67029,0.99484,0.8467,0.52702,0.64122,0.48733,0.55039,0.31005,0.29474,0.16601,1.0031,5.25892,0.30807,1.6899,1.19442,0.0089605,0.0089605,0.0089605
23,1046.86,0.71783,2.96051,0.20943,0.66694,0.99238,0.87029,0.55631,0.68887,0.51248,0.5776,0.30685,0.28957,0.15905,1.03482,5.20521,0.29584,1.53636,1.18928,0.008911,0.008911,0.008911
24,1089.95,0.71336,2.91682,0.20771,0.67001,0.98919,0.76587,0.57344,0.63608,0.48304,0.55993,0.27548,0.27034,0.15564,1.05353,5.28848,0.28545,1.65576,1.24532,0.0088615,0.0088615,0.0088615
