epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7468,1.09439,4.66881,0.36213,5.02979,1.2925,0.64982,0.3458,0.36282,0.24212,0.41538,0.18948,0.14521,0.06005,1.22936,5.98501,0.23362,5.0614,1.38974,0.000475311,0.000475311,0.000475311
2,183.141,1.1689,4.94214,0.27273,4.26571,1.33031,0.66503,0.3601,0.37741,0.25155,0.37042,0.15309,0.13064,0.0563,1.3227,6.60832,0.24025,4.80397,1.50653,0.000945364,0.000945364,0.000945364
3,276.965,1.15847,4.93661,0.25145,3.96667,1.31872,0.69929,0.35417,0.35522,0.23846,0.40885,0.15129,0.13531,0.06606,1.37065,6.71808,0.0917,6.65018,1.57804,0.00140913,0.00140913,0.00140913
4,369.899,1.1291,4.77946,0.23992,3.94811,1.31481,0.65974,0.34556,0.37881,0.24322,0.3179,0.16347,0.13652,0.0657,1.31793,6.45022,0.08267,4.89488,1.47632,0.00140071,0.00140071,0.00140071
5,460.852,1.06533,4.58946,0.22928,3.61471,1.26453,0.67137,0.36723,0.38973,0.24279,0.43329,0.14605,0.13513,0.06523,1.48649,6.49003,0.15066,4.8044,1.68767,0.00139127,0.00139127,0.00139127
6,563.782,1.05401,4.51308,0.22164,3.65141,1.27578,0.70559,0.34923,0.3894,0.26658,0.52302,0.18076,0.15705,0.08209,1.2714,6.13808,0.0803,4.77088,1.49106,0.00138184,0.00138184,0.00138184
7,654.786,1.01249,4.36897,0.21835,3.45249,1.24873,0.6512,0.3367,0.38658,0.26495,0.4911,0.17403,0.15391,0.0784,1.27645,6.35254,0.09214,4.90959,1.4763,0.00137241,0.00137241,0.00137241
8,756.609,0.99897,4.23905,0.21424,3.45605,1.2403,0.73946,0.36795,0.39186,0.27399,0.53241,0.17875,0.16495,0.08241,1.19572,6.33947,0.11723,4.80473,1.42245,0.00136298,0.00136298,0.00136298
9,860.889,0.97888,4.21345,0.21211,3.2998,1.22623,0.78858,0.37697,0.42012,0.29796,0.50699,0.19273,0.18499,0.09555,1.15391,6.06092,0.06008,4.34725,1.40093,0.00135355,0.00135355,0.00135355
10,963.182,0.91862,3.98609,0.19719,3.00746,1.18503,0.78705,0.35187,0.38521,0.27563,0.51338,0.20937,0.18296,0.0982,1.18192,5.98235,0.06883,5.66144,1.42306,0.00134412,0.00134412,0.00134412
11,1067.16,0.9304,3.96958,0.19733,3.09973,1.1974,0.70752,0.37599,0.40187,0.29409,0.47173,0.18795,0.16801,0.08848,1.12472,5.99608,0.06256,4.37406,1.38153,0.00133469,0.00133469,0.00133469
12,1168.85,0.91114,3.91457,0.19938,3.07429,1.20165,0.73179,0.36532,0.39836,0.27231,0.4165,0.20358,0.17404,0.09404,1.17029,6.04825,0.05318,5.27538,1.46769,0.00132525,0.00132525,0.00132525
13,1259.66,0.88656,3.78998,0.18763,2.94157,1.16942,0.74268,0.41086,0.43071,0.29973,0.47942,0.20233,0.18245,0.09377,1.1675,5.99942,0.10217,4.08782,1.43127,0.00131582,0.00131582,0.00131582
