epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.147,1.04603,4.65809,0.37001,1.75031,1.23716,0.68519,0.34069,0.36693,0.25855,0.41636,0.21336,0.17374,0.0704,1.09048,5.54628,0.2742,1.59016,1.29877,0.000475311,0.000475311,0.000475311
2,124.181,1.05819,4.55325,0.26313,1.35316,1.22011,0.63021,0.34847,0.35791,0.248,0.40575,0.17217,0.15308,0.06767,1.20316,6.25292,0.15728,1.69638,1.38654,0.000942223,0.000942223,0.000942223
3,180.824,1.06799,4.55618,0.24557,1.28838,1.22944,0.67701,0.33844,0.36866,0.25067,0.42575,0.17419,0.14658,0.06488,1.23459,6.29542,0.18474,1.73438,1.43335,0.0013997,0.0013997,0.0013997
4,234.556,1.05523,4.52225,0.23652,1.28758,1.2308,0.69131,0.31511,0.36894,0.25697,0.44607,0.16721,0.14275,0.07285,1.24712,6.31002,0.09282,1.73639,1.42688,0.00138656,0.00138656,0.00138656
5,288.443,1.00948,4.41304,0.2324,1.22462,1.20973,0.67718,0.35336,0.36776,0.25912,0.4073,0.18109,0.15127,0.07979,1.24535,6.15041,0.07477,1.72444,1.45332,0.00137241,0.00137241,0.00137241
6,343.139,0.95227,4.15801,0.21123,1.09466,1.16562,0.73271,0.33479,0.37292,0.27247,0.45538,0.19678,0.1766,0.08957,1.14424,6.101,0.08993,1.76611,1.34973,0.00135826,0.00135826,0.00135826
7,395.678,0.94899,4.0472,0.20723,1.10351,1.16865,0.77967,0.34729,0.39317,0.28198,0.48678,0.19501,0.1691,0.0755,1.11248,5.96987,0.06667,1.60558,1.34224,0.00134412,0.00134412,0.00134412
8,454.524,0.94273,4.05553,0.21343,1.13947,1.18962,0.66046,0.31286,0.35083,0.2459,0.48919,0.17923,0.16256,0.08703,1.1581,6.08691,0.09566,1.86301,1.37812,0.00132997,0.00132997,0.00132997
9,510.127,0.92036,4.01569,0.20649,1.06813,1.16279,0.73132,0.32405,0.3447,0.24667,0.52228,0.20433,0.17131,0.09007,1.12208,5.94619,0.08644,2.00176,1.34808,0.00131582,0.00131582,0.00131582
10,564.603,0.90322,3.86816,0.19715,1.06297,1.16023,0.77503,0.31304,0.34643,0.24473,0.53799,0.20144,0.17273,0.08809,1.10919,6.01186,0.07627,1.92999,1.34961,0.00130168,0.00130168,0.00130168
11,623.959,0.89085,3.84518,0.19346,1.03265,1.15157,0.77873,0.33217,0.37939,0.27637,0.49909,0.19302,0.16892,0.08964,1.11549,5.98011,0.08432,1.76194,1.34327,0.00128753,0.00128753,0.00128753
12,682.412,0.88942,3.82949,0.19853,1.04551,1.15376,0.72723,0.33578,0.36931,0.26696,0.53237,0.2137,0.18124,0.0946,1.13824,5.7892,0.083,1.88175,1.35394,0.00127338,0.00127338,0.00127338
13,738.382,0.8694,3.7145,0.19121,0.99386,1.13414,0.76129,0.32218,0.3762,0.28052,0.564,0.20978,0.18643,0.09914,1.08668,5.79339,0.06197,1.81997,1.32869,0.00125923,0.00125923,0.00125923
14,789.853,0.8491,3.67418,0.19118,0.99346,1.13053,0.7877,0.32355,0.37646,0.27775,0.5976,0.19931,0.18664,0.10252,1.13448,5.73845,0.0826,1.82966,1.36607,0.00124509,0.00124509,0.00124509
15,846.268,0.85344,3.63383,0.18789,0.99627,1.1334,0.77359,0.32297,0.36667,0.26726,0.52341,0.20662,0.18189,0.09846,1.06933,5.54573,0.04813,1.87328,1.34856,0.00123094,0.00123094,0.00123094
16,900.231,0.82971,3.55798,0.18545,0.92464,1.1094,0.73747,0.33833,0.36323,0.26462,0.58041,0.21457,0.19038,0.10261,1.16985,5.6243,0.07101,1.97939,1.39645,0.00121679,0.00121679,0.00121679
17,955.937,0.83014,3.56962,0.18297,0.98236,1.1267,0.72724,0.32987,0.34634,0.2574,0.52966,0.21329,0.19345,0.10537,1.1707,5.84117,0.07113,2.05271,1.39633,0.00120265,0.00120265,0.00120265
18,1008.15,0.81704,3.47747,0.1849,0.92276,1.11213,0.7422,0.34962,0.37974,0.27349,0.5615,0.20773,0.18491,0.10374,1.15027,5.56407,0.05279,1.89255,1.40831,0.0011885,0.0011885,0.0011885
19,1064.84,0.80408,3.41794,0.17679,0.89222,1.09618,0.81157,0.32138,0.37857,0.28403,0.58162,0.21659,0.19682,0.10836,1.13156,5.43796,0.06281,1.96645,1.36029,0.00117435,0.00117435,0.00117435
20,1116.53,0.81075,3.37725,0.1812,0.92767,1.11057,0.73752,0.32682,0.36215,0.26615,0.55316,0.21887,0.1985,0.10987,1.14588,5.60574,0.07556,2.01442,1.3988,0.00116021,0.00116021,0.00116021
21,1168.05,0.7826,3.32713,0.17907,0.88332,1.08861,0.77079,0.32373,0.34443,0.25716,0.54162,0.2208,0.18348,0.1024,1.14006,5.68341,0.06275,2.05006,1.41298,0.00114606,0.00114606,0.00114606
22,1219.92,0.7935,3.37302,0.17644,0.90015,1.10266,0.83262,0.32148,0.36305,0.26804,0.62337,0.21639,0.20444,0.11319,1.07609,5.59194,0.05754,1.99148,1.34378,0.00113191,0.00113191,0.00113191
23,1271.16,0.80042,3.34145,0.17418,0.89946,1.09632,0.82164,0.31882,0.36034,0.27012,0.61133,0.21183,0.1987,0.11076,1.06806,5.62188,0.05265,1.97046,1.34279,0.00111776,0.00111776,0.00111776
24,1322.67,0.78539,3.30632,0.17355,0.89968,1.10283,0.81149,0.32638,0.35817,0.2732,0.5785,0.20948,0.19211,0.10989,1.05273,5.55878,0.08419,2.06499,1.31942,0.00110362,0.00110362,0.00110362
25,1374.18,0.76712,3.2327,0.17176,0.8704,1.08737,0.79285,0.32405,0.34263,0.25946,0.56027,0.21593,0.18931,0.1072,1.10447,5.69809,0.07633,2.09273,1.36553,0.00108947,0.00108947,0.00108947
26,1425.19,0.75934,3.17307,0.1674,0.84735,1.08011,0.78987,0.31592,0.34927,0.26368,0.59051,0.2126,0.19681,0.11182,1.07225,5.46629,0.04541,1.97156,1.32592,0.00107532,0.00107532,0.00107532
27,1476.77,0.7752,3.27012,0.16778,0.89307,1.09007,0.81002,0.32866,0.36196,0.27129,0.54422,0.21558,0.19515,0.11116,1.17075,5.61276,0.0549,1.90988,1.42811,0.00106118,0.00106118,0.00106118
28,1528.52,0.76205,3.18693,0.16674,0.87796,1.08705,0.79971,0.33324,0.35249,0.2686,0.58053,0.22464,0.19693,0.11342,1.07394,5.46963,0.04223,2.00147,1.35356,0.00104703,0.00104703,0.00104703
29,1579.84,0.74731,3.12054,0.1691,0.84131,1.07529,0.75017,0.32685,0.38309,0.28579,0.56559,0.21809,0.20618,0.11792,1.14689,5.44878,0.05572,1.89845,1.43045,0.00103288,0.00103288,0.00103288
30,1631.58,0.75499,3.13755,0.16252,0.84517,1.07516,0.83603,0.32541,0.35493,0.26823,0.64826,0.22577,0.21369,0.11674,1.06645,5.32533,0.06351,2.0747,1.34162,0.00101873,0.00101873,0.00101873
31,1687.88,0.73808,3.07155,0.16495,0.8206,1.06791,0.80418,0.33124,0.37477,0.28143,0.61183,0.21547,0.20345,0.11649,1.0768,5.50771,0.07026,1.79985,1.34558,0.00100459,0.00100459,0.00100459
32,1740.14,0.7401,3.11874,0.1661,0.84286,1.07894,0.79489,0.33667,0.36484,0.27624,0.56833,0.21389,0.19579,0.11512,1.10209,5.71,0.04638,2.02134,1.37505,0.00099044,0.00099044,0.00099044
33,1791.23,0.7266,3.04968,0.16231,0.79638,1.06538,0.84897,0.32425,0.3811,0.28593,0.61064,0.2263,0.21521,0.12538,1.03632,5.35324,0.05269,1.95773,1.29962,0.000976293,0.000976293,0.000976293
34,1842.98,0.73694,3.0626,0.16563,0.84318,1.07416,0.82692,0.32166,0.3666,0.27855,0.6004,0.22422,0.2155,0.1276,1.04175,5.43555,0.06453,2.07465,1.33574,0.000962146,0.000962146,0.000962146
35,1894.55,0.73288,3.10223,0.16199,0.82399,1.07403,0.8204,0.32843,0.35561,0.2727,0.60728,0.22584,0.20265,0.11308,1.04245,5.5196,0.05884,1.99901,1.32011,0.000947999,0.000947999,0.000947999
36,1945.66,0.71751,2.98008,0.16196,0.80375,1.0685,0.80009,0.32077,0.35279,0.26889,0.60239,0.22019,0.20466,0.11776,1.12275,5.47211,0.06123,2.11352,1.38951,0.000933851,0.000933851,0.000933851
37,1997.34,0.72717,2.99233,0.16137,0.83767,1.06671,0.82746,0.32322,0.36516,0.27717,0.62172,0.22728,0.20912,0.11923,1.07457,5.38305,0.06898,2.08669,1.38156,0.000919704,0.000919704,0.000919704
38,2048.7,0.70917,2.97646,0.16189,0.77926,1.05556,0.8354,0.32527,0.36438,0.28264,0.63644,0.2275,0.21167,0.12468,1.05959,5.37567,0.06945,2.07242,1.34505,0.000905557,0.000905557,0.000905557
39,2099.87,0.72023,2.98715,0.15944,0.81506,1.06025,0.81833,0.32739,0.36717,0.27909,0.60493,0.23416,0.21197,0.11927,1.06662,5.38107,0.05909,2.02457,1.33429,0.00089141,0.00089141,0.00089141
40,2151.42,0.72452,2.97108,0.15583,0.83921,1.07256,0.79624,0.33947,0.3648,0.28048,0.61477,0.22943,0.20914,0.12006,1.0398,5.4427,0.05112,1.98129,1.32303,0.000877263,0.000877263,0.000877263
41,2202.61,0.69887,2.90887,0.15768,0.7683,1.04997,0.8291,0.3255,0.36565,0.27616,0.62423,0.21919,0.20954,0.12102,1.08375,5.47566,0.0499,1.99926,1.37858,0.000863116,0.000863116,0.000863116
42,2253.96,0.70556,2.9286,0.15849,0.80307,1.05852,0.78134,0.33597,0.34279,0.26722,0.58211,0.23352,0.20361,0.1181,1.04658,5.50305,0.05427,2.14504,1.37108,0.000848969,0.000848969,0.000848969
43,2305.16,0.69609,2.844,0.15288,0.75998,1.04892,0.81469,0.33508,0.35376,0.27288,0.594,0.23044,0.20318,0.11538,1.04408,5.44478,0.05669,2.09258,1.34167,0.000834822,0.000834822,0.000834822
44,2356.56,0.69694,2.85863,0.15805,0.75542,1.05212,0.87207,0.32207,0.36602,0.28453,0.65169,0.23044,0.22251,0.12945,1.0432,5.35368,0.05743,2.07408,1.33864,0.000820675,0.000820675,0.000820675
45,2407.62,0.69353,2.83958,0.15693,0.7626,1.05053,0.80611,0.3393,0.36069,0.27682,0.65608,0.22727,0.21764,0.12242,1.0479,5.21732,0.0654,2.08515,1.33191,0.000806528,0.000806528,0.000806528
46,2459.1,0.70214,2.88221,0.15538,0.77302,1.05865,0.83885,0.32146,0.3743,0.28629,0.62762,0.23256,0.2098,0.11882,1.09579,5.4168,0.05549,1.90023,1.37641,0.00079238,0.00079238,0.00079238
47,2510.24,0.68074,2.77924,0.15196,0.73483,1.0377,0.84116,0.329,0.3661,0.27781,0.65301,0.22392,0.21315,0.12202,1.08842,5.47169,0.05592,2.11454,1.35432,0.000778233,0.000778233,0.000778233
48,2561.39,0.67938,2.76276,0.15255,0.75271,1.03869,0.83929,0.33586,0.38342,0.29443,0.60114,0.2262,0.21259,0.12573,1.08054,5.45197,0.05627,2.00682,1.38105,0.000764086,0.000764086,0.000764086
49,2612.61,0.68405,2.81187,0.15514,0.77582,1.05052,0.8315,0.32456,0.35152,0.27288,0.59159,0.22184,0.19827,0.12031,1.06359,5.49096,0.05711,2.09336,1.34778,0.000749939,0.000749939,0.000749939
50,2663.99,0.67793,2.81108,0.15342,0.73268,1.04504,0.81934,0.33364,0.34464,0.267,0.58771,0.22798,0.19785,0.11763,1.04802,5.36344,0.06964,2.16046,1.33567,0.000735792,0.000735792,0.000735792
51,2715.32,0.67244,2.73861,0.15523,0.72426,1.04145,0.84848,0.33045,0.35242,0.27287,0.61648,0.23014,0.1975,0.11596,0.99551,5.25331,0.06445,1.96332,1.28723,0.000721645,0.000721645,0.000721645
52,2766.59,0.659,2.65402,0.1462,0.68807,1.03276,0.83993,0.34064,0.39319,0.30054,0.66226,0.23759,0.22805,0.13042,1.04998,5.32936,0.05974,1.96694,1.34102,0.000707498,0.000707498,0.000707498
53,2818.17,0.67359,2.75599,0.15366,0.74679,1.03938,0.84326,0.3298,0.3662,0.28011,0.64717,0.2361,0.21655,0.12717,1.03622,5.32234,0.06015,1.94232,1.33514,0.000693351,0.000693351,0.000693351
54,2869.75,0.6563,2.70243,0.15183,0.72432,1.03653,0.79481,0.32976,0.3568,0.27448,0.61991,0.23819,0.21708,0.12508,1.05316,5.15824,0.04547,2.06708,1.35208,0.000679204,0.000679204,0.000679204
55,2921,0.66022,2.6403,0.14863,0.68484,1.02748,0.82451,0.33797,0.35416,0.27327,0.60488,0.2406,0.21027,0.12375,1.06642,5.34842,0.0525,2.16744,1.37102,0.000665057,0.000665057,0.000665057
56,2972.47,0.65329,2.64652,0.1482,0.71138,1.03346,0.79958,0.33835,0.36878,0.28442,0.64052,0.23877,0.2228,0.13234,1.03737,5.2759,0.05003,2.0463,1.32545,0.000650909,0.000650909,0.000650909
57,3023.57,0.65203,2.66153,0.15008,0.70017,1.02221,0.79973,0.33657,0.36849,0.28736,0.60999,0.24326,0.22048,0.1271,0.99925,5.27101,0.0669,1.99579,1.30471,0.000636762,0.000636762,0.000636762
58,3074.57,0.63874,2.59497,0.14294,0.67025,1.01737,0.84591,0.32711,0.37017,0.28547,0.65171,0.24423,0.23112,0.1296,1.01684,5.12225,0.04673,2.09472,1.32603,0.000622615,0.000622615,0.000622615
59,3126,0.63233,2.52523,0.14238,0.66333,1.01137,0.77407,0.34239,0.35848,0.27976,0.61116,0.23756,0.21396,0.12702,1.00958,5.23794,0.0592,2.13972,1.32603,0.000608468,0.000608468,0.000608468
60,3177.08,0.64864,2.61833,0.14901,0.70239,1.02522,0.827,0.32777,0.35235,0.27663,0.62907,0.2407,0.21233,0.12697,1.01769,5.20608,0.05495,2.1256,1.32859,0.000594321,0.000594321,0.000594321
61,3228.51,0.63953,2.59056,0.14316,0.67494,1.02664,0.85557,0.34243,0.384,0.2972,0.6334,0.2422,0.22813,0.13415,1.03256,5.24764,0.05456,2.09664,1.35804,0.000580174,0.000580174,0.000580174
62,3279.76,0.6433,2.55327,0.14462,0.70835,1.02725,0.86648,0.33554,0.38817,0.30029,0.65795,0.24941,0.23746,0.13961,1.02612,5.19031,0.05192,1.95891,1.34252,0.000566027,0.000566027,0.000566027
63,3331.05,0.6394,2.58615,0.14625,0.70495,1.02768,0.86265,0.33615,0.36963,0.28583,0.65052,0.24549,0.2304,0.13078,1.01342,5.29359,0.05967,1.93465,1.31755,0.00055188,0.00055188,0.00055188
64,3382.5,0.6425,2.58791,0.14514,0.69379,1.02296,0.84807,0.3357,0.36128,0.28124,0.65259,0.24663,0.22366,0.131,1.04261,5.41354,0.04979,2.05637,1.35088,0.000537733,0.000537733,0.000537733
65,3433.68,0.62461,2.49789,0.14227,0.67533,1.01564,0.81358,0.34814,0.3661,0.28336,0.63235,0.24413,0.22313,0.13187,1.00897,5.21924,0.0644,2.09085,1.32391,0.000523586,0.000523586,0.000523586
66,3484.82,0.63511,2.5435,0.14486,0.67075,1.02411,0.83708,0.33293,0.36531,0.28429,0.63954,0.2453,0.22688,0.13331,1.02102,5.19873,0.04714,2.14704,1.31895,0.000509438,0.000509438,0.000509438
67,3536.72,0.63838,2.58325,0.14123,0.69421,1.02979,0.85937,0.33187,0.35915,0.28316,0.64882,0.24462,0.22334,0.13313,0.9749,5.16776,0.05474,2.15796,1.28951,0.000495291,0.000495291,0.000495291
68,3587.73,0.61392,2.45502,0.13938,0.64095,1.00418,0.81933,0.34615,0.36327,0.28747,0.62649,0.25577,0.23266,0.13545,0.99764,5.23752,0.05385,2.23375,1.31278,0.000481144,0.000481144,0.000481144
69,3638.94,0.61532,2.46921,0.14397,0.6433,1.00612,0.81918,0.3444,0.35995,0.28544,0.63417,0.24615,0.22019,0.13167,1.03297,5.32192,0.04768,2.15186,1.33583,0.000466997,0.000466997,0.000466997
70,3690.49,0.61833,2.48358,0.14304,0.66402,1.02175,0.80825,0.3418,0.35439,0.27745,0.60616,0.2361,0.21488,0.12979,1.0428,5.24069,0.04521,2.13676,1.3653,0.00045285,0.00045285,0.00045285
71,3741.6,0.60307,2.37569,0.13773,0.64525,1.00325,0.83699,0.33779,0.35893,0.28063,0.65204,0.24555,0.21826,0.12644,1.02888,5.22287,0.0542,2.14635,1.34923,0.000438703,0.000438703,0.000438703
72,3793,0.61751,2.48989,0.14309,0.67486,1.02244,0.83304,0.34217,0.3644,0.28499,0.63004,0.24862,0.22692,0.13319,1.04081,5.20074,0.05192,2.22422,1.35078,0.000424556,0.000424556,0.000424556
73,3844.46,0.6321,2.5092,0.13859,0.6715,1.02782,0.84712,0.33995,0.38051,0.29822,0.6762,0.25084,0.23885,0.14087,0.99912,5.10684,0.05766,2.1215,1.31199,0.000410409,0.000410409,0.000410409
74,3895.74,0.60556,2.41612,0.13656,0.61877,1.00793,0.80758,0.34166,0.37788,0.29647,0.61792,0.23881,0.22481,0.13682,0.98277,5.19718,0.04986,2.15612,1.29028,0.000396262,0.000396262,0.000396262
75,3946.88,0.60722,2.46317,0.14206,0.65473,1.0164,0.83623,0.33539,0.36819,0.29112,0.65037,0.24222,0.22513,0.1351,1.04342,5.22552,0.04987,2.25624,1.34876,0.000382115,0.000382115,0.000382115
76,3998.03,0.59736,2.35981,0.13879,0.63571,1.00038,0.83138,0.34307,0.36917,0.2887,0.66062,0.23724,0.21794,0.13198,1.01693,5.16302,0.04976,2.08356,1.32968,0.000367967,0.000367967,0.000367967
77,4049.31,0.59072,2.3243,0.13477,0.62288,0.99579,0.80891,0.34394,0.35948,0.28383,0.64122,0.24885,0.22652,0.1348,1.05886,5.17255,0.06146,2.24032,1.36769,0.00035382,0.00035382,0.00035382
78,4100.67,0.60134,2.396,0.14061,0.64611,1.01118,0.80915,0.33936,0.36064,0.28369,0.63775,0.2461,0.22144,0.13452,1.06015,5.26512,0.07049,2.22148,1.37907,0.000339673,0.000339673,0.000339673
79,4151.93,0.59828,2.38207,0.13921,0.63812,1.00403,0.83804,0.33729,0.35979,0.28318,0.6609,0.23903,0.22447,0.13531,1.02788,5.20958,0.06541,2.30492,1.34766,0.000325526,0.000325526,0.000325526
