epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3669,0.52981,2.05617,0.13036,0.53747,0.9776,0.87391,0.31399,0.60877,0.52972,0.69171,0.22405,0.44633,0.29874,1.06057,5.15822,0.04115,1.96892,1.42453,0.000475322,0.000475322,0.000475322
2,173.635,0.56698,2.23185,0.12978,0.57557,0.99721,0.85994,0.30018,0.57541,0.49364,0.64687,0.21901,0.41688,0.27035,1.14157,5.43701,0.04755,2.11133,1.5216,0.000932813,0.000932813,0.000932813
3,258.601,0.58455,2.35801,0.13212,0.58797,0.99615,0.86395,0.30425,0.58188,0.50134,0.64752,0.21653,0.42162,0.27492,1.06498,5.29425,0.05258,1.95442,1.38883,0.00137144,0.00137144,0.00137144
4,341.539,0.59708,2.38809,0.12922,0.57872,1.00089,0.85365,0.3005,0.59172,0.50528,0.60542,0.20718,0.41219,0.27257,1.17065,5.49392,0.06802,1.95718,1.52477,0.00134412,0.00134412,0.00134412
5,426.113,0.62159,2.5151,0.13717,0.64021,1.02437,0.86894,0.32555,0.608,0.51413,0.60335,0.218,0.41521,0.27697,1.09273,5.51959,0.06035,2.01003,1.47025,0.00131582,0.00131582,0.00131582
6,510.01,0.61547,2.4574,0.13685,0.62662,1.02107,0.8869,0.32451,0.61335,0.52117,0.62107,0.22184,0.42131,0.28592,1.10626,5.49932,0.0684,1.97436,1.45244,0.00128753,0.00128753,0.00128753
7,592.686,0.59196,2.36736,0.13238,0.59258,1.00092,0.85214,0.31468,0.59465,0.51178,0.62124,0.22555,0.42141,0.28581,1.06167,5.38165,0.06087,2.01894,1.41709,0.00125923,0.00125923,0.00125923
8,675.648,0.58979,2.34418,0.13265,0.57382,0.99681,0.81117,0.32669,0.58221,0.4989,0.57148,0.22431,0.40393,0.2818,1.09385,5.48089,0.0847,2.13003,1.4429,0.00123094,0.00123094,0.00123094
9,758.794,0.60705,2.45289,0.1376,0.63406,1.02574,0.82888,0.32667,0.59506,0.51255,0.59737,0.2323,0.42256,0.28183,1.05782,5.39939,0.08484,2.0427,1.39463,0.00120265,0.00120265,0.00120265
10,842.345,0.60477,2.4108,0.13312,0.60452,1.01779,0.87906,0.32624,0.61184,0.52557,0.61027,0.22496,0.42353,0.29014,1.07236,5.36478,0.05237,1.84971,1.39804,0.00117435,0.00117435,0.00117435
11,925.924,0.5909,2.36875,0.13222,0.61053,1.00985,0.85248,0.3279,0.60418,0.51729,0.62842,0.22691,0.43052,0.28729,1.04864,5.38929,0.06252,1.83487,1.37986,0.00114606,0.00114606,0.00114606
12,1010.11,0.58417,2.32673,0.13147,0.60003,0.99845,0.86252,0.32066,0.60046,0.51859,0.63304,0.23094,0.43816,0.29107,1.08912,5.45746,0.06691,2.08159,1.44864,0.00111776,0.00111776,0.00111776
13,1093.35,0.58513,2.32286,0.13005,0.59912,0.99957,0.859,0.31154,0.59149,0.51172,0.65011,0.22937,0.43817,0.29388,1.03318,5.28026,0.04696,1.92008,1.4053,0.00108947,0.00108947,0.00108947
14,1176.84,0.58824,2.29909,0.12874,0.6024,1.00752,0.86928,0.33629,0.61532,0.52953,0.66834,0.22893,0.44379,0.2962,1.0929,5.35742,0.04703,1.90901,1.44335,0.00106118,0.00106118,0.00106118
15,1259.54,0.58091,2.30381,0.13224,0.61054,1.00188,0.88537,0.31831,0.60994,0.52835,0.63647,0.22858,0.4404,0.29444,1.06775,5.31769,0.08241,1.94635,1.44256,0.00103288,0.00103288,0.00103288
16,1344.67,0.57839,2.27616,0.131,0.59674,1.00277,0.88477,0.32806,0.61681,0.52404,0.64753,0.23086,0.44214,0.29602,1.09727,5.35813,0.06739,2.05302,1.45339,0.00100459,0.00100459,0.00100459
