epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.6662,0.58578,2.29468,0.12991,0.59204,1.01628,0.85293,0.32817,0.39899,0.29776,0.64332,0.2307,0.2252,0.13024,1.12118,5.2511,0.05135,1.71532,1.45531,0.000475316,0.000475316,0.000475316
2,177.612,0.59083,2.36448,0.13258,0.58738,1.00997,0.81519,0.34384,0.40949,0.2992,0.64032,0.22184,0.20848,0.12267,1.1584,5.5917,0.06073,1.67673,1.48503,0.000904542,0.000904542,0.000904542
3,261.465,0.60714,2.41505,0.13559,0.60452,1.0122,0.84212,0.33005,0.38276,0.28838,0.65696,0.2253,0.22685,0.13167,1.10663,5.27758,0.05137,1.94433,1.4375,0.00128661,0.00128661,0.00128661
4,345.589,0.61593,2.48897,0.13386,0.6367,1.02069,0.85446,0.31566,0.33802,0.26156,0.63108,0.22886,0.21137,0.12542,1.10302,5.36743,0.06633,2.11218,1.41865,0.00121679,0.00121679,0.00121679
5,429.587,0.61119,2.43666,0.13074,0.60661,1.01181,0.8821,0.33372,0.40966,0.30613,0.62963,0.23175,0.22159,0.13122,1.08482,5.34043,0.05362,1.697,1.40973,0.00114606,0.00114606,0.00114606
6,514.176,0.6152,2.4589,0.13085,0.61296,1.02812,0.80242,0.33552,0.36554,0.28618,0.63298,0.22615,0.21945,0.12972,1.08759,5.49046,0.04885,2.11426,1.39632,0.00107532,0.00107532,0.00107532
7,598.387,0.60278,2.4415,0.13659,0.62017,1.01671,0.89522,0.31713,0.36635,0.27896,0.66643,0.22978,0.22083,0.12751,1.06724,5.29881,0.05206,1.78615,1.40447,0.00100459,0.00100459,0.00100459
8,681.799,0.59385,2.40827,0.13333,0.59688,1.00936,0.83491,0.32894,0.38854,0.29538,0.66358,0.22164,0.22383,0.13141,1.06547,5.34931,0.07381,1.9166,1.3708,0.000933851,0.000933851,0.000933851
9,765.325,0.58856,2.33175,0.13048,0.58094,1.00322,0.88188,0.32262,0.38761,0.29343,0.65743,0.22804,0.22261,0.13042,1.11765,5.42007,0.05714,1.79661,1.46461,0.000863116,0.000863116,0.000863116
10,849.665,0.57487,2.29085,0.1324,0.58161,1.00202,0.8316,0.30314,0.35556,0.27326,0.66309,0.20348,0.20176,0.1214,1.05615,5.41134,0.04445,1.86641,1.42749,0.00079238,0.00079238,0.00079238
11,935.645,0.48386,1.65725,0.04318,0.43151,0.92705,0.78811,0.33975,0.39729,0.31083,0.59729,0.22967,0.22498,0.14143,1.06517,5.37575,0.03384,2.08618,1.41017,0.000721645,0.000721645,0.000721645
12,1017.23,0.46923,1.59138,0.03929,0.41089,0.91816,0.80252,0.3406,0.41084,0.31811,0.64314,0.22576,0.23658,0.14585,1.05452,5.22404,0.0274,1.84823,1.37953,0.000650909,0.000650909,0.000650909
13,1099.1,0.46262,1.52347,0.03634,0.39821,0.91286,0.85198,0.32384,0.41031,0.3211,0.63456,0.22812,0.24898,0.1556,1.06013,5.22312,0.03052,2.0617,1.41435,0.000580174,0.000580174,0.000580174
14,1181.99,0.44827,1.48085,0.03395,0.38387,0.90615,0.81048,0.33368,0.45524,0.35548,0.66922,0.2278,0.27483,0.17395,1.07257,5.28996,0.01966,1.92742,1.43944,0.000509438,0.000509438,0.000509438
15,1263.82,0.43005,1.39904,0.03326,0.36916,0.89505,0.86222,0.3117,0.41512,0.32932,0.6478,0.22608,0.24992,0.15758,1.04066,5.24089,0.0253,1.91755,1.39334,0.000438703,0.000438703,0.000438703
16,1346.24,0.42199,1.36334,0.03257,0.36406,0.89657,0.82699,0.33487,0.45227,0.35745,0.63541,0.23129,0.26385,0.17057,1.05419,5.1536,0.02479,1.97171,1.41063,0.000367967,0.000367967,0.000367967
17,1432.08,0.41403,1.33134,0.03398,0.35739,0.89829,0.79842,0.34161,0.46656,0.38024,0.65611,0.22577,0.28086,0.18859,1.0385,5.16805,0.02488,2.03213,1.41523,0.000297232,0.000297232,0.000297232
18,1513.97,0.40189,1.30055,0.03339,0.34761,0.89314,0.88203,0.31976,0.4494,0.36085,0.65698,0.23503,0.27747,0.17834,1.04285,5.14373,0.03265,2.05308,1.40424,0.000226497,0.000226497,0.000226497
19,1596.43,0.38989,1.25093,0.03448,0.34756,0.88849,0.78189,0.33846,0.44275,0.35479,0.64402,0.23204,0.27711,0.18182,1.04233,5.16169,0.02681,2.08377,1.40907,0.000155761,0.000155761,0.000155761
20,1678.49,0.38684,1.2199,0.03159,0.33604,0.88377,0.79395,0.33317,0.45443,0.36408,0.66322,0.23099,0.28083,0.18146,1.06477,5.11182,0.02474,1.99668,1.44396,8.50255e-05,8.50255e-05,8.50255e-05
