epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4655,0.90253,3.31759,0.32643,2.88574,1.26008,0.68574,0.63368,0.68706,0.39127,0.46387,0.70801,0.54402,0.1584,1.3873,4.2581,0.25151,3.11473,1.9423,0.00043342,0.00043342,0.00043342
2,22.7661,1.3864,5.44676,0.42534,2.31295,1.68486,0.95806,0.24835,0.31977,0.12212,0.00064,0.18182,0.00774,0.00117,3.12974,8.27665,1.1031,2.91933,3.08033,0.000874763,0.000874763,0.000874763
3,28.3541,1.57786,6.22781,0.46367,2.40288,1.77087,0.19799,0.56818,0.21242,0.10149,0.00232,0.02273,0.00105,0.00015,1.9122,8.10473,0.23715,10.2285,2.6089,0.00130719,0.00130719,0.00130719
4,34.1851,1.71337,6.83235,0.43416,2.18337,1.85794,0.00411,0.06818,0.00214,0.00046,0,0,0,0,3.66965,10.113,0.68393,16.6901,6.18611,0.00161749,0.00161749,0.00161749
5,40.2716,1.9591,7.01033,0.47709,2.62083,2.09773,0.0022,0.18182,0.00169,0.00061,0,0,0,0,3.30444,10.5682,0.38511,167.943,5.61312,0.00160099,0.00160099,0.00160099
6,45.6545,1.82298,6.84069,0.49657,2.80452,2.04649,0.00444,0.04545,0.00234,0.00102,0.001,0.04545,0.00026,8e-05,2.94545,10.0585,0.41514,140.002,7.97808,0.00158448,0.00158448,0.00158448
7,51.0896,1.90107,6.29166,0.50192,2.28462,2.0528,0.00458,0.13636,0.00396,0.0012,0.00047,0.02273,0.00017,3e-05,3.10909,10.3985,0.47951,42.2373,16.3748,0.00156798,0.00156798,0.00156798
8,56.5847,1.71563,6.52601,0.48111,2.03105,1.88747,0.00835,0.43182,0.00865,0.00406,0.00187,0.13636,0.00107,0.00018,2.78363,9.71078,0.37229,256.226,7.25663,0.00155148,0.00155148,0.00155148
9,62.2259,1.7822,6.21925,0.45381,2.23069,2.01853,0.0079,0.31818,0.00933,0.00292,0.00026,0.06818,0.00015,4e-05,2.91534,9.70097,0.27072,124.913,5.6863,0.00153497,0.00153497,0.00153497
10,67.6128,1.71078,6.36878,0.43127,1.93363,1.86476,0.62634,0.25,0.13429,0.07762,0.52319,0.04545,0.00744,0.00105,2.11413,7.61487,0.23062,8.99327,2.45878,0.00151847,0.00151847,0.00151847
11,72.9199,1.56452,5.901,0.39688,1.81636,1.79469,0.07435,0.18182,0.05233,0.03082,0.05744,0.06818,0.02984,0.00305,2.53664,7.76566,0.21991,11.2217,2.71055,0.00150197,0.00150197,0.00150197
12,78.4487,1.44355,5.8578,0.41487,1.59568,1.72475,0.84242,0.36364,0.37438,0.21833,0.0798,0.13636,0.02835,0.00802,1.90123,6.87633,0.18973,3.8337,2.12023,0.00148546,0.00148546,0.00148546
13,84.2205,1.47788,5.56809,0.3969,1.65238,1.70136,0.51903,0.5,0.50333,0.31824,0.07873,0.09091,0.03208,0.00768,1.75439,6.97787,0.19315,4.28985,2.02526,0.00146896,0.00146896,0.00146896
14,89.53,1.39453,5.6775,0.39918,1.50984,1.66903,0.41685,0.40909,0.43994,0.23466,0.25634,0.13636,0.07995,0.0141,1.81346,6.27133,0.18461,2.73052,2.33374,0.00145246,0.00145246,0.00145246
15,94.801,1.37643,5.66002,0.39576,1.42112,1.64724,0.50686,0.6083,0.53589,0.31938,0.2426,0.29545,0.18331,0.0333,1.70311,6.0747,0.20628,2.51645,2.28349,0.00143595,0.00143595,0.00143595
16,100.226,1.36342,5.25167,0.38714,1.30939,1.60065,0.81381,0.55503,0.62312,0.36581,0.57571,0.25,0.13017,0.03246,1.41038,5.5654,0.20279,2.83442,1.90865,0.00141945,0.00141945,0.00141945
17,106.705,1.40483,5.2111,0.36977,1.33956,1.59669,0.5094,0.59091,0.54988,0.36992,0.28924,0.27273,0.15916,0.03705,1.56911,5.77338,0.17924,2.73146,1.88437,0.00140295,0.00140295,0.00140295
18,112.57,1.38044,4.72517,0.3787,1.39081,1.59128,0.6695,0.54545,0.54632,0.33479,0.57507,0.38624,0.3346,0.08478,1.95087,5.35689,0.18323,1.58542,1.96066,0.00138644,0.00138644,0.00138644
19,117.98,1.36492,5.31141,0.3785,1.3997,1.59118,0.57236,0.54545,0.57099,0.32714,0.41443,0.31818,0.25673,0.05153,1.58363,5.66392,0.20134,1.58948,1.69766,0.00136994,0.00136994,0.00136994
20,123.823,1.35612,5.17426,0.35432,1.33718,1.59364,0.50667,0.63636,0.57862,0.39697,0.529,0.38636,0.34214,0.0641,1.42469,5.51567,0.22514,1.74278,1.64189,0.00135344,0.00135344,0.00135344
21,129.635,1.34075,5.08327,0.36749,1.29275,1.60405,0.75769,0.63636,0.64133,0.43558,0.45928,0.40909,0.35946,0.07615,1.28374,5.22295,0.23173,1.8537,1.64197,0.00133693,0.00133693,0.00133693
