epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4985,0.90634,3.05785,0.32179,2.91099,1.18048,0.95292,0.4375,0.47031,0.36886,0.8591,0.34776,0.35601,0.15996,0.76573,2.5362,0.19581,1.80745,0.9807,0.00036674,0.00036674,0.00036674
2,41.0619,0.97507,3.15115,0.28253,1.76487,1.20171,0.89395,0.66667,0.72324,0.52199,0.83338,0.59848,0.58039,0.30746,0.85134,2.83236,0.19808,1.53261,1.04499,0.000742724,0.000742724,0.000742724
3,60.9552,1.12167,3.63842,0.29222,1.65801,1.30087,0.87414,1,0.995,0.62336,0.63698,0.76515,0.66346,0.31396,0.91038,2.8872,0.18483,1.67512,1.06262,0.00111112,0.00111112,0.00111112
4,80.958,1.06579,3.4141,0.28557,1.53702,1.31068,0.78544,0.97727,0.94551,0.66774,0.57987,0.69697,0.64384,0.24692,0.85376,3.5795,0.17291,1.73973,1.03865,0.00147192,0.00147192,0.00147192
5,101.622,1.06945,4.21511,0.32373,1.50708,1.22517,0.81435,1,0.8988,0.58459,0.56901,0.70626,0.56607,0.17615,1.01044,4.23148,0.20072,1.69388,1.0905,0.00160099,0.00160099,0.00160099
6,122.258,1.08173,3.95117,0.30491,1.44484,1.20682,0.78321,0.83333,0.84571,0.58203,0.88615,0.48485,0.56823,0.1896,0.90285,3.83396,0.21254,1.4613,1.07074,0.00158448,0.00158448,0.00158448
7,143.526,1.13727,3.89365,0.31377,1.65221,1.28218,0.87012,0.66073,0.68851,0.50813,0.76904,0.54709,0.53578,0.23812,0.92609,3.41987,0.23224,1.49264,1.12712,0.00156798,0.00156798,0.00156798
8,165.616,1.12102,3.93927,0.32185,1.44994,1.26219,0.99779,0.5,0.6653,0.48762,0.86083,0.36364,0.47395,0.1713,0.94733,3.36032,0.21568,1.70808,1.14506,0.00155148,0.00155148,0.00155148
9,187.015,1.01648,3.58022,0.30463,1.36421,1.20512,0.9966,0.5,0.6653,0.51106,0.84023,0.34091,0.46869,0.1825,0.91468,3.50066,0.22065,1.5861,1.12201,0.00153497,0.00153497,0.00153497
10,207.437,1.02913,3.59061,0.27715,1.27077,1.21421,0.99923,0.5,0.66635,0.47567,0.98836,0.45455,0.6202,0.31853,1.12638,2.8564,0.19209,1.60775,1.1927,0.00151847,0.00151847,0.00151847
11,228.924,1.17197,3.54491,0.30412,1.3375,1.24876,0.69113,0.66667,0.72031,0.55126,0.66441,0.62121,0.61038,0.30938,0.83161,3.12596,0.18024,1.30357,1.03076,0.00150197,0.00150197,0.00150197
12,250.953,1.05994,3.04537,0.27973,1.25007,1.2222,0.93462,0.66667,0.73487,0.5482,0.84734,0.57576,0.55911,0.30408,0.8409,2.66796,0.17363,1.12055,0.99935,0.00148546,0.00148546,0.00148546
13,273.162,1.05752,3.1356,0.29249,1.2288,1.17405,0.9482,0.65568,0.72319,0.49606,0.94397,0.64394,0.64513,0.33483,0.96435,2.62411,0.18835,1.16395,1.0686,0.00146896,0.00146896,0.00146896
14,294.768,1.05692,3.01165,0.311,1.1565,1.17401,0.89493,0.65966,0.73464,0.53888,0.92593,0.64394,0.64513,0.29405,0.80737,2.70238,0.17232,1.01157,1.02136,0.00145246,0.00145246,0.00145246
15,315.816,0.98287,2.9321,0.26511,1.06541,1.15545,0.9107,0.66667,0.83,0.62165,0.45,0.45455,0.45784,0.22084,0.6657,2.88732,0.18487,0.94263,0.91763,0.00143595,0.00143595,0.00143595
16,337.77,0.96314,2.98126,0.25543,1.06809,1.13919,0.70758,0.80929,0.874,0.66456,0.45258,0.45455,0.46642,0.20464,0.72313,3.11108,0.18585,0.84949,0.97289,0.00141945,0.00141945,0.00141945
17,359.887,1.00173,2.68798,0.27253,1.0497,1.20081,0.9808,0.65012,0.80643,0.55336,0.92804,0.59848,0.59756,0.33707,1.11583,2.59666,0.16075,1.1136,1.13674,0.00140295,0.00140295,0.00140295
18,380.488,1.12134,3.13981,0.28817,1.17342,1.23605,0.98059,0.65227,0.7695,0.56909,0.92544,0.59848,0.64456,0.40772,0.87657,2.35871,0.1536,1.00941,1.02041,0.00138644,0.00138644,0.00138644
19,401.903,1.00122,3.01057,0.27137,1.06013,1.14461,0.97696,0.66406,0.75022,0.5584,0.934,0.62121,0.66528,0.34314,0.8227,2.5409,0.15108,0.89346,0.99894,0.00136994,0.00136994,0.00136994
20,424.211,1.02922,2.82164,0.26871,1.00215,1.17798,0.95755,0.66667,0.71849,0.57798,0.91321,0.62121,0.66748,0.34928,0.76513,2.30245,0.15844,0.85654,0.97655,0.00135344,0.00135344,0.00135344
21,446.567,0.98353,2.90926,0.24502,0.95693,1.13255,0.96408,0.66667,0.75277,0.62649,0.89738,0.59848,0.68141,0.34514,0.72143,2.31263,0.15737,0.79693,0.95644,0.00133693,0.00133693,0.00133693
22,468.054,0.96132,2.80097,0.25453,0.96471,1.14852,0.96493,0.66667,0.74933,0.56528,0.94379,0.62121,0.66801,0.33601,0.89465,2.24109,0.17035,0.83027,1.01353,0.00132043,0.00132043,0.00132043
23,489.078,1.01074,2.59512,0.25942,0.97654,1.16297,0.9224,0.66552,0.73375,0.57481,0.92309,0.62121,0.64543,0.35748,0.75958,2.09276,0.16599,0.80157,0.95793,0.00130393,0.00130393,0.00130393
24,510.541,0.91959,2.32609,0.25322,0.87913,1.11844,0.87513,0.65705,0.78558,0.67127,0.88694,0.64394,0.72773,0.3676,0.64198,2.05461,0.15808,0.7758,0.89569,0.00128742,0.00128742,0.00128742
25,533.188,0.91906,2.50689,0.26418,0.88487,1.13126,0.859,0.65586,0.78558,0.64417,0.87317,0.64394,0.72773,0.4056,0.72377,2.02787,0.15588,0.79032,0.93246,0.00127092,0.00127092,0.00127092
26,555.162,0.86977,2.60774,0.25392,0.80085,1.08885,0.90092,0.66234,0.72917,0.56581,0.89899,0.64394,0.68193,0.44826,0.84123,1.92396,0.15714,0.7946,0.984,0.00125442,0.00125442,0.00125442
27,577.161,0.99931,2.62261,0.24294,0.86123,1.1561,0.9244,0.6613,0.71652,0.55149,0.9375,0.64394,0.67527,0.43607,0.8877,2.02828,0.15499,0.76106,1.00786,0.00123791,0.00123791,0.00123791
28,597.822,0.90818,2.26266,0.2405,0.81481,1.11677,0.90136,0.65945,0.70063,0.54933,0.89844,0.64394,0.6659,0.44589,0.93043,1.99609,0.16202,0.7877,1.02563,0.00122141,0.00122141,0.00122141
29,619.978,0.86984,2.16126,0.19635,0.79193,1.11533,0.96608,0.66667,0.72772,0.62122,0.94365,0.64394,0.67786,0.39945,0.76136,2.10386,0.17072,0.77112,0.959,0.00120491,0.00120491,0.00120491
30,643.659,0.90759,2.39792,0.23567,0.90833,1.12588,0.96645,0.66667,0.72275,0.63201,0.94404,0.64394,0.67623,0.43276,0.68622,2.07787,0.17658,0.77548,0.93782,0.0011884,0.0011884,0.0011884
31,666.184,0.96439,2.61651,0.23675,0.90952,1.1372,0.93675,0.66321,0.73719,0.639,0.9458,0.64394,0.68659,0.35608,0.69909,2.20629,0.17238,0.72115,0.92209,0.0011719,0.0011719,0.0011719
32,687.294,0.94091,2.49422,0.24728,0.82812,1.13654,0.81919,0.66667,0.72688,0.59602,0.77269,0.62121,0.59873,0.37011,0.84958,2.10663,0.16476,0.73405,0.97624,0.0011554,0.0011554,0.0011554
33,708.43,0.89232,2.13152,0.24317,0.75213,1.08943,0.79745,0.57305,0.73571,0.60916,0.77246,0.54911,0.60627,0.36513,0.85123,2.22855,0.17179,0.79087,0.99021,0.00113889,0.00113889,0.00113889
34,730.704,1.01854,2.68317,0.23579,0.87798,1.21222,0.79507,0.64464,0.73702,0.60802,0.7973,0.6075,0.60554,0.36802,0.73394,2.18563,0.17657,0.71661,0.9421,0.00112239,0.00112239,0.00112239
35,753.175,0.87577,2.07234,0.21599,0.76513,1.0984,0.88209,0.66666,0.78286,0.61415,0.86392,0.62121,0.6062,0.39019,0.67031,2.234,0.17986,0.65005,0.91635,0.00110589,0.00110589,0.00110589
36,774.3,0.82913,2.08161,0.22056,0.73552,1.09421,0.94355,0.81963,0.863,0.67462,0.91735,0.64394,0.64351,0.39781,0.62338,2.04807,0.1824,0.62087,0.89708,0.00108938,0.00108938,0.00108938
37,796.136,0.97226,2.16155,0.2229,0.86833,1.14378,0.90931,0.82137,0.86094,0.66107,0.95653,0.64394,0.64354,0.38972,0.73954,2.06812,0.18447,0.65065,0.93363,0.00107288,0.00107288,0.00107288
38,818.826,0.89788,2.17987,0.23266,0.80142,1.08637,0.96789,0.66667,0.79563,0.62331,0.9456,0.64394,0.64246,0.39105,0.80889,2.07439,0.17921,0.7214,0.96371,0.00105638,0.00105638,0.00105638
39,840.593,0.89823,2.28575,0.24957,0.77696,1.13144,0.9576,0.66667,0.808,0.64793,0.93452,0.64394,0.64359,0.38363,0.75994,2.00229,0.16799,0.68926,0.93734,0.00103987,0.00103987,0.00103987
40,861.702,0.83238,2.4204,0.24138,0.7457,1.10038,0.86529,0.66667,0.80643,0.63722,0.81929,0.62121,0.66675,0.3677,0.66518,1.87063,0.13776,0.61748,0.89992,0.00102337,0.00102337,0.00102337
41,883.242,0.81483,2.46003,0.24685,0.72631,1.06864,0.64134,0.93529,0.80643,0.62724,0.74398,0.62121,0.66383,0.37012,0.69799,1.96262,0.12945,0.63049,0.91049,0.00100687,0.00100687,0.00100687
42,905.463,0.87381,2.02602,0.22314,0.77025,1.14299,0.73461,0.66667,0.7475,0.55804,0.72044,0.64394,0.71183,0.38346,0.77548,1.9378,0.13589,0.67183,0.94826,0.000990365,0.000990365,0.000990365
43,928.482,0.83531,2.21572,0.23845,0.6962,1.02039,0.73538,0.66667,0.72039,0.56535,0.73782,0.64394,0.64722,0.38749,0.76609,1.93079,0.14338,0.72323,0.95402,0.000973861,0.000973861,0.000973861
44,949.814,0.91574,2.18277,0.22881,0.73317,1.1346,0.73644,0.66623,0.72225,0.57926,0.74729,0.64394,0.70117,0.42882,0.72911,1.85277,0.14531,0.71575,0.94398,0.000957358,0.000957358,0.000957358
45,970.994,0.81458,1.86598,0.22613,0.67492,1.09941,0.87436,0.64642,0.69568,0.5711,0.87529,0.64394,0.67632,0.44375,0.78243,1.78834,0.15244,0.68925,0.97864,0.000940855,0.000940855,0.000940855
46,993.04,0.84188,1.88267,0.24179,0.6696,1.07111,0.91569,0.65307,0.69317,0.5758,0.93143,0.64394,0.67392,0.46984,0.79781,1.78197,0.15518,0.66922,0.97756,0.000924352,0.000924352,0.000924352
47,1015.78,0.83398,2.09831,0.25317,0.64541,1.07906,0.83101,0.65135,0.69001,0.56553,0.85684,0.64394,0.66802,0.4321,0.67742,1.86941,0.15184,0.63434,0.92844,0.000907848,0.000907848,0.000907848
48,1038.65,0.83806,1.91104,0.22155,0.71449,1.08813,0.80412,0.65232,0.68882,0.57072,0.82966,0.64394,0.66676,0.42298,0.68309,1.8081,0.16024,0.64117,0.92683,0.000891345,0.000891345,0.000891345
49,1059.79,0.89321,1.97674,0.26104,0.71031,1.07922,0.87619,0.66667,0.717,0.61745,0.87105,0.64394,0.69702,0.50379,0.67518,1.70993,0.15447,0.67831,0.92503,0.000874842,0.000874842,0.000874842
50,1081.57,0.76365,1.79701,0.21791,0.64664,1.03902,0.8593,0.66667,0.72808,0.62518,0.83759,0.64394,0.70723,0.53294,0.65151,1.64508,0.14658,0.6933,0.92051,0.000858338,0.000858338,0.000858338
51,1103.42,0.79059,1.5292,0.19604,0.60064,1.04642,0.87133,0.66667,0.7183,0.62273,0.87301,0.63064,0.69843,0.54152,0.66172,1.56688,0.14454,0.68042,0.9213,0.000841835,0.000841835,0.000841835
52,1127.15,0.82636,2.14774,0.24532,0.68601,1.11251,0.93096,0.66667,0.72125,0.61473,0.94622,0.62121,0.70083,0.53125,0.72955,1.51579,0.14202,0.67722,0.92851,0.000825332,0.000825332,0.000825332
53,1150.18,0.7989,1.66017,0.21136,0.65497,1.04058,0.96825,0.66667,0.72122,0.6137,0.94589,0.64394,0.70081,0.49782,0.73576,1.64993,0.14226,0.66494,0.93275,0.000808828,0.000808828,0.000808828
54,1171.85,0.79394,1.80015,0.20816,0.63515,1.02417,0.96073,0.66667,0.70285,0.59112,0.93818,0.64394,0.68341,0.43666,0.7121,1.75374,0.14561,0.70393,0.9329,0.000792325,0.000792325,0.000792325
55,1193.24,0.83631,1.68837,0.22066,0.65947,1.06948,0.94412,0.66667,0.69924,0.56879,0.92199,0.64394,0.67975,0.39622,0.72442,1.83641,0.15172,0.69965,0.93883,0.000775822,0.000775822,0.000775822
56,1215.11,0.83703,1.87526,0.22249,0.6642,1.06872,0.93497,0.66667,0.69909,0.57006,0.91232,0.64394,0.64646,0.40892,0.71285,1.82275,0.15531,0.67576,0.94443,0.000759318,0.000759318,0.000759318
57,1237.78,0.83876,1.61747,0.21962,0.6819,1.08154,0.94416,0.66667,0.69918,0.57028,0.92156,0.64394,0.6466,0.39529,0.74768,1.84409,0.16567,0.6884,0.96694,0.000742815,0.000742815,0.000742815
58,1258.34,0.82174,1.90633,0.22252,0.64564,1.08128,0.95633,0.66667,0.71373,0.58667,0.93385,0.64394,0.64716,0.36576,0.77685,1.88731,0.17537,0.70104,0.95647,0.000726312,0.000726312,0.000726312
59,1279.8,0.79237,1.92583,0.22711,0.61655,1.0446,0.95218,0.66667,0.71403,0.6007,0.92977,0.64394,0.64765,0.39832,0.72036,1.91791,0.17185,0.69495,0.92557,0.000709809,0.000709809,0.000709809
60,1303,0.79157,1.70876,0.20894,0.63785,1.06854,0.94977,0.66667,0.70823,0.59637,0.92729,0.64394,0.68913,0.41962,0.6787,1.88346,0.16361,0.68294,0.90697,0.000693305,0.000693305,0.000693305
61,1325.01,0.777,1.52788,0.21894,0.62821,1.06875,0.92876,0.6615,0.70797,0.5845,0.91119,0.64394,0.68879,0.46355,0.65818,1.67283,0.1568,0.66982,0.9095,0.000676802,0.000676802,0.000676802
62,1346.23,0.70078,1.21847,0.19605,0.55324,0.99148,0.86288,0.65303,0.71351,0.58487,0.87447,0.64394,0.69421,0.45455,0.65558,1.6109,0.15305,0.67157,0.91588,0.000660299,0.000660299,0.000660299
